UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1251573,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1251927,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1252042,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1252207,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253211,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253331,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1253917,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1254084,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1255229,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1255242,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1255290,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1256205,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1259525,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1263761,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1263774,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1263804,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1271953,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1279830,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1279855,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291806,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291842,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291906,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1292045,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1292230,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1292275,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1292549,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1292821,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1293004,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1293356,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1294807,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
